MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DATA,DETALHAMENTO,VALOR_REEMBOLSADO,COD_DOCUMENTO
1,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,001/22,2022-01-03,despesa com pagamento de aluguel de imóvel para uso do escritório político do senador acir gurgacz em ji-paraná/ro.,6000,2173614
1,ACIR GURGACZ,divulgação da atividade parlamentar,26.320.603/0001-64,INFORMANAHORA,000000000000310/A,2022-01-04,despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500,2173615
1,ACIR GURGACZ,divulgação da atividade parlamentar,13.659.201/0001-47,LINHA PURPURA FOTO E VIDEO LTDA,107,2022-01-14,despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000,2173616
1,ACIR GURGACZ,divulgação da atividade parlamentar,23.652.846/0001-01,ROBERTO GUTIERREZ DA ROCHA M.E.I.,187,2022-01-18,divulgação da atividade parlamentar,1000,2173618
1,ACIR GURGACZ,divulgação da atividade parlamentar,08.941.827/0001-01,RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA,000000000001772/A,2022-01-17,divulgação da atividade parlamentar,2000,2173617
1,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ZTRPJB,2022-01-24,"companhia aérea: latam, localizador: ztrpjb. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3117 - nvtbsb - 01/02/2022;","1000,36",2174218
2,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,002/22,2022-02-02,despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz,6000,2174221
2,ACIR GURGACZ,"contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar",13.659.201/0001-47,LINHA PURPURA FOTO E VIDEO LTDA,116,2022-02-14,despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000,2174981
2,ACIR GURGACZ,divulgação da atividade parlamentar,26.320.603/0001-64,INFORMANAHORA,000000000000340/A,2022-02-16,despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500,2174982
2,ACIR GURGACZ,divulgação da atividade parlamentar,41.845.127/0001-99,J. J. M. CALADO EIRELI,19,2022-02-02,divulgação da atividade parlamentar,1000,2174219
